Player,TEAM,AGE,GP,MIN,FGA,FTA,FGM3,FGA3,PTS,BLK,STL,AST,TOV,REB.Chances,Opp.FGA.at.Rim,Opp.FGPer.at.Rim,RAFGA,Passes.Made.per.Game,Touches.per.Game,AO,SecondAST,FTAst,AST.PTS.Created,Drive.PTS,Catch.Shoot.PTS,Pull.Up.PTS,Paint.Touch.PTS,Post.Touch.PTS,Elbow.Touch.PTS
Victor Oladipo,ORL,23,51,31.9,12.7,3.3,1.4,4,14.6,0.6,1.4,4.1,2.2,9,2.5,55.6,4.2,41.3,60.3,7.5,0.9,0.2,9.3,2.9,3.3,3.9,0.6,1,0.4
Vince Carter,MEM,39,37,14.2,4.4,1,0.7,2.4,4.8,0.2,0.5,0.7,0.5,4,1.3,51.1,1.1,14.7,20.5,1.4,0.2,0.1,1.6,0.5,2,0.6,0.4,0.5,0.1
Walter Tavares,ATL,23,10,6.9,1.8,0.8,0,0,2.3,0.6,0.1,0.2,0.5,3.4,2.2,50,1.4,8.7,11.6,0.4,0.2,0,0.5,0,0,0,0.8,0.8,0
Wayne Ellington,BKN,28,56,20.4,7,0.9,1.1,3.2,7.4,0.1,0.6,0.9,0.6,3.9,1.1,65.6,1,14.2,22.7,1.7,0.3,0.1,2.2,0.4,2.8,2.4,0.3,0.3,0.4
Wesley Johnson,LAC,28,56,20,6,0.6,1.3,3.9,6.9,0.7,1.1,0.6,0.6,6.4,2.4,56.9,0.8,16.8,24.4,1.1,0.1,0.1,1.6,0.1,4.3,0.8,0.5,0.5,0.2
Wesley Matthews,DAL,29,53,33.1,10.8,1.8,2.3,6.5,12.2,0.2,0.9,1.9,1,5.9,1.5,60.8,1.7,31.5,45.5,3.8,0.5,0.1,4.6,1.5,6.2,2.1,0.4,0.5,0.1
Will Barton,DEN,25,57,28.6,12.6,3.2,1.5,4.1,15.5,0.5,0.9,2.4,1.6,10.2,3.1,55.3,4.8,30.7,48.3,5.2,0.9,0.4,5.7,4.1,3.3,3.3,0.4,0.5,0.4
Willie Cauley-Stein,SAC,22,41,20.4,4.4,1.8,0,0,6.4,1.2,0.6,0.4,0.7,9.8,3.6,46.9,3.7,15.3,21,1.1,0.3,0.1,1,0,0.2,0,3.1,3.3,0.1
Willie Reed,BKN,25,28,10,3,1.1,0,0,4.2,0.6,0.1,0.2,0.5,5.3,3,45.2,2.1,7.8,12.1,0.3,0.1,0,0.4,0,0.4,0.1,1.6,2.1,0.3
Zach LaVine,MIN,20,57,24.7,11.1,2.6,1.1,3.2,13,0.2,0.6,3.1,1.9,5.5,1.1,54.7,3.6,36.4,52.7,6.4,0.8,0.4,7.2,3.5,2,3.9,0.3,0.3,0.3
Zach Randolph,MEM,34,50,29.2,12.2,2.9,0,0.2,14.3,0.2,0.6,1.6,1.5,16.1,5.2,54.6,5.6,31.9,48.6,3.8,0.5,0.3,4,0.8,2.1,0.9,2.6,3.5,0.8
Zaza Pachulia,DAL,32,52,29.7,7.1,4.5,0,0,10,0.3,1,2,1.9,20.6,8.4,52.6,4.2,35.5,48.1,4,0.6,0.2,4.7,0.4,1.1,0.2,3.9,4.1,1.2
